category,subcategory,specific_type,place_name,google_plus_code,lat,lon,metadata,dimension,polygon_file
Transportation Experiences,N/A,Ropeways,Hakone ropeway,"722X+87 Hakone, Kanagawa, Japan",35.2508125,139.0481875,"The Hakone Ropeway is a 4-kilometer aerial lift offering spectacular 30-minute journeys across the Fuji-Hakone-Izu National Park. Connecting Sounzan Station with Togendai Station, the route glides over the volcanic Owakudani Valley and offers stunning views of Mt. Fuji and Lake Ashinoko. A popular and attractive way of visiting Hakone is by circling the region with five different means of transport (train, cablecar, ropeway, boat and bus), using the Hakone Free Pass. The round course outlined below starts and ends in Hakone-Yumoto and circles the Hakone region in the counter-clockwise direction. Of course, it is also possible to follow the course in the opposite direction or to start and end somewhere different.",marker,
Transportation Experiences,N/A,Scenic railways,,,,,,,
Transportation Experiences,N/A,Ferries,,,,,,,
Transportation,N/A,Train station,Tokyo station,,35.6813125,139.7670625,,marker,
Transportation,N/A,Train station,Shinagawa station,,35.6285,139.7388,,marker,
Transportation,N/A,Train station,Shin-Yokohama station,,35.5075,139.6170,,marker,
Transportation,N/A,Train station,Odawara station,"7544+H5 Odawara, Kanagawa, Japan",35.2564375,139.1554375,,marker,
Transportation,N/A,Train station,Nagoya station,,35.1709,136.8815,,marker,
Transportation,N/A,Train station,Kyoto station,,34.9855,135.7586,,marker,
Transportation,N/A,Train station,Shin-Osaka station,,34.7335,135.5007,,marker,
Wellness and Relaxation,N/A,Onsen towns,Hakone,,35.250517,139.047339,"Hakone is a mountainous hot spring region known for its secluded ryokan, forested valleys, and views of Mt. Fuji. Unlike traditional compact onsen towns, Hakone is spread across several villages connected by scenic railways and winding mountain roads. The experience centers on retreating into a ryokan for private baths, kaiseki meals, tatami rooms, and quiet mountain scenery rather than exploring a preserved historic district. Huge range from ultra-luxury ryokan to traditional inns. Private baths, kaiseki dinners, Mt. Fuji views if weather cooperates.",marker,
Wellness and Relaxation,N/A,Onsen towns,Kinosaki Onsen,"JRF7+M58 Toyooka, Hyogo, Japan",35.624167,134.812951,"Probably the quintessential ryokan town. Walkable canals, yukata culture, public bath hopping, wooden inns. Very easy from Kyoto/Osaka.",marker,
Wellness and Relaxation,N/A,Onsen towns,Gero Onsen,"R64Q+HQR Gero, Gifu, Japan",35.806496,137.239403,Traditional hot spring town in the mountains between Nagoya and Takayama. Relaxed and less international.,marker,
Wellness and Relaxation,N/A,Onsen towns,Kusatsu,"JHCW+FH2 Kusatsu, Gunma, Japan",36.621140,138.596383,"Kusatsu, a town in Japan’s Kantō region, is known for its hot-spring resorts. At its center is the spring’s source, Yubatake, with its gushing, steaming waters. Nearby is the traditional Goza no Yu bathhouse. In the west, Mt. Kusatsu-Shirane is an active volcano whose summit is home to the acidic green waters of Yugama lake. To the southwest is Kazawa Yunomaru Plateau, with its sprawling, seasonal azalea fields.",marker,
Wellness and Relaxation,N/A,Onsen towns,Ginzan Onsen,"HGCJ+55Q Obanazawa, Yamagata, Japan",38.570458,140.530487,Tiny Taisho-era street with gas lamps and snow-covered wooden ryokan. Almost unfairly photogenic.,marker,
Wellness and Relaxation,N/A,Onsen towns,Yufuin,"7933+5XR Yufu, Oita, Japan",33.252958,131.354897,"Stylish countryside onsen town with upscale ryokan, cafes, and mountain scenery. More relaxed/artsy than historic. Nearby cave.",marker,
Wellness and Relaxation,N/A,Onsen towns,Kurokawa Onsen,"34HR+4JP Minamioguni, Kumamoto, Japan",33.077849,131.141586,"Deep forest atmosphere, outdoor baths, quiet roads, very cohesive aesthetic. One of the best ryokan-focused destinations in Japan.",marker,
Wellness and Relaxation,N/A,Forest bathing,Aokigahara Forest,"FJGR+36 Fujikawaguchiko, Yamanashi, Japan",35.4751875,138.6405625,"Aokigahara, also known as the 'Sea of Trees' (Jukai), is a dense, 35-square-kilometer forest at the northwestern base of Mount Fuji in Japan. Thriving on hardened lava from an 864 CE eruption, the untamed wilderness is famous for its haunting isolation, porous volcanic rock that absorbs sound, and its tragic reputation as a destination for suicide.",polygon,
Events & Seasonal Activities,N/A,Matsuri festivals,,,,,,,
Events & Seasonal Activities,N/A,Fireworks festivals,,,,,,,
Events & Seasonal Activities,N/A,Sumo tournaments,,,,,,,
Events & Seasonal Activities,N/A,Seasonal illuminations,,,,,,,
Events & Seasonal Activities,N/A,Tea ceremonies,,,,,,,
Architecture & Urbanism,N/A,Futuristic districts,Odaiba,"JQHH+XG Minato City, Tokyo, Japan",35.6299375,139.7788125,"Odaiba is a futuristic, man-made entertainment and shopping island in Tokyo Bay. Connected to central Tokyo by the iconic Rainbow Bridge, it offers a blend of expansive waterfront parks, massive malls, eccentric museums, and stunning views of the city skyline.",marker,
Food and Drink,Specialty food experiences,Tea houses,Nakajima-no-Ochaya,"MQ56+CW Chuo City, Tokyo, Japan",35.658563,139.762313,"A traditional teahouse here offers tea ceremonies that blend quiet ritual with precise movements, from whisking the matcha to the choreography of ‘turning the bowl,’ the practice of showing off a bowl’s most aesthetically pleasing side to the guest.",marker,
Food and Drink,Restaurants by cuisine,Confectionary shop,Higashiya Ginza,"MQF9+P5 Chuo City, Tokyo, Japan",35.674312,139.767938,"(Tabelog 3.54) Located on the 2nd floor of the Ginza Pola building, an elegant shop offering a selection of traditional Japanese sweets & tableware, plus a tea salon.",marker,
Food and Drink,Specialty food experiences,Breweries,Buzzed Lamb Brewing,"PQF9+C7 Taito City, Tokyo, Japan",35.723562,139.768188,(Tabelog 3.44) Brewpub with traditional interior located inside an old sake shop in historical Yanaka district,marker,
Food and Drink,Specialty food experiences,Butcher shop,Kichijoji Satou,,35.703937,139.579063,"(Tabelog 3.54) A butcher shop that is known for its menchi katsu, seasoned ground beef patties covered in panko and deep-fried. Also on the second floor a 3.54 rated steakhouse",marker,
Food and Drink,Restaurants by cuisine,Noodles,Edo Soba Hosokawa,"MQWX+M6 Sumida City, Tokyo, Japan",35.696687,139.798063,"(Tabelog 3.66, 1 Michelin star) A hand-made soba noodle shop, no reservations accepted, closes once soba runs out.",marker,
Food and Drink,Restaurants by cuisine,Seafood,Shinjuku Kappou Nakajima,,35.690188,139.704063,"(Tabelog 3.68, 1 Michelin star) This affordable Michelin-starred lunch is centered on sardines. In the standout dish, the small fish are simmered and served over ochazuke, a hot, porridgelike soup made from bonito-based dashi broth and rice.",marker,
Food and Drink,Restaurants by cuisine,Bakery,Parklet,,35.686937,139.778813,This bakery serves market-fresh breads and pastries - think ginger scones and peanut butter-miso cookies - alongside a hearty brunch menu.,marker,
Food and Drink,Restaurants by cuisine,Noodles,Fukudaya,"MM5X+W2 Shibuya, Tokyo, Japan",35.659813,139.697563,"(Tabelog 3.49) The mom-and-pop soba shop has a retro, nostalgic vibe. A must-try is the cold soba, thin buckwheat noodles, with crispy tempura, lightly battered and fried seafood or vegetables. It offers a simple experience that’s authentic and flavorful. Cash only.",marker,
Food and Drink,Restaurants by cuisine,Noodles,Usagi Ramen,,35.655687,139.693438,"(Tabelog 3.69) A favorite of locals where soy-rich ramen meets spicy tantanmen (a Japanese take on Sichuan-style sesame and chili noodle soup), all served with mellow soundtrack music by Nujabes, a famed Japanese record producer, D.J., composer and arranger who was the older brother of Usagi’s owner. Open only for lunch, and cash only.",marker,
Food and Drink,Restaurants by cuisine,Tempura,Tempura Shinjuku Tsunahachi Souhonten,,35.690812,139.703438,"(Tabelog 3.46) A neighborhood institution since 1923, this restaurant serves golden, sesame-oil-fried tempura with precision. From tiger prawns to seasonal vegetables, it’s a crispy and flavorful tradition.",marker,
Food and Drink,Restaurants by cuisine,Teppanyaki,Ukai-tei,,35.667437,139.706813,"(Tabelog 3.68) [also in Ginza] The star at this upscale establishment is teppanyaki, a Japanese style of cooking in which ingredients such as vegetables and wagyu are grilled on a flat iron griddle. Or perhaps the star is the dessert lounge serving expertly crafted sweets like Japanese-style cakes and seasonal fruit parfaits?",marker,
Food and Drink,Restaurants by cuisine,Tempura,Oshio Tempura and Wine Bar,,35.671937,139.760063,"(Tabelog 3.49) Sate your appetite with inventive varieties of tempura, such as salmon roe nested on roasted seaweed, at this restaurant. It serves unorthodox tempura with wine pairings in a setting beneath an old train viaduct.",marker,
Food and Drink,Restaurants by cuisine,Okonomiyaki,Momijiya Okonomiyaki,,35.699938,139.747437,"(Tabelog 3.49) This casual 25-seat spot specializes in Hiroshima-style okonomiyaki, layered savory pancakes filled with cabbage, noodles and other seasonal ingredients. Along its perimeter are 10 stools from which patrons can watch their okonomiyaki of choice get made, according to T Magazine.",marker,
Food and Drink,Restaurants by cuisine,Sushi,Sushiya Ono,"JPW7+4V Shibuya, Tokyo, Japan",35.645313,139.714688,"(Tabelog 3.23) Housed in a basement at the end of a residential block, this sushi restaurant serves blowout omakase sushi at a seven-seat counter, along with fresh fish, squid tentacles and daily market finds.",marker,
Food and Drink,Restaurants by cuisine,Sushi,Kyubey,"MQ96+9G Chuo City, Tokyo, Japan",35.668437,139.761312,"(Tabelog 3.68) This legendary sushi restaurant is celebrated for edomae sushi, fresh Tokyo Bay seafood atop bite-size, vinegary rice. The seafood is so fresh you might find yourself eating a live shrimp.",marker,
Food and Drink,Restaurants by cuisine,Tonkatsu,Katsukichi,,35.670437,139.754313,"(Tabelog 3.56) A tonkatsu chain with multiple locations. A much-loved local chain, Katsukichi specializes in thick and hearty tonkatsu, a breaded and deep-fried pork cutlet. But in the winter, diners come for a seasonal specialty: kaki-furai, or deep-fried oysters.",marker,
Shopping,Traditional shopping,Traditional souvenirs and snacks,Nakamise Street,"PQ6W+PH Taito City, Tokyo, Japan",35.711813,139.796438,"Nakamise is the most famous shopping street in Asakusa. The street runs for 250 meters on the main approach to Sensoji Temple and is lined on both sides with shops selling traditional souvenirs, snacks, and sweets.",marker,
Shopping,Shopping districts,Bookstore,Daikanyama T-Site,"JMXX+JR Shibuya, Tokyo, Japan",35.649062,139.699563,"Designed as a ‘library in a forest’ concept, elegant bookstore complex with music, DVD & vintage book sections, plus a plush cafe & lounge.",marker,
Food and Drink,Specialty food experiences,Night street food,Shinjuku Golden-Gai,"MPV3+JW Shinjuku City, Tokyo, Japan",35.694088,139.704767,"Golden Gai is a compact nightlife district in Tokyo’s Shinjuku ward, famous for its maze of narrow alleyways lined with hundreds of tiny bars. Located on the edge of Kabukichō, it preserves the retro charm of postwar Tokyo and remains one of the city’s most atmospheric drinking areas. Typical hours: 7 p.m.–4 a.m. (many open late). Average cover charge: ¥500–¥1,500",polygon,golden_gai.csv
Transportation,N/A,Train station,Fujisawa station,,35.3373125,139.4871875,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Ishigami station,,35.3324375,139.4855625,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Yanagikōji Station,,35.3274375,139.4851875,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Kugenuma Station,,35.3211875,139.4825625,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Shōnankaigankōen Station,,35.3150625,139.4834375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Enoshima Station,,35.3110625,139.4874375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Koshigoe Station,,35.3084375,139.4931875,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Kamakurakōkō-Mae Station,,35.3066875,139.5005625,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Shichirigahama Station,,35.3061875,139.5101875,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Inamuragasaki Station,,35.3043125,139.5219375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Gokurakuji Station,,35.3094375,139.5290625,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Hase Station,,35.3113125,139.5359375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Yuigahama Station,,35.3128125,139.5414375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Wadazuka Station,,35.3136875,139.5454375,"On the Enoden Line (Enoshima Electric Railway)",marker
Transportation,N/A,Train station,Kamakura station,,35.3183050,139.5498370,"On the Enoden Line (Enoshima Electric Railway)",marker
